,IoU,F1,Precision,Recall,TP,TN,FP,FN,Fold,Img_id,Name
0,0.2929942112220247,0.4532026650685655,0.4186531197082193,0.4939675708906478,12856,611482,17852,13170,0,0,pspnet_vgg19
1,0.2956998219848687,0.4564326041689028,0.4031245852530193,0.5259876802810282,21262,583456,31481,19161,0,1,pspnet_vgg19
2,0.311569009441031,0.4751088310234115,0.4255044820105603,0.5378049095941436,20791,588630,28071,17868,0,2,pspnet_vgg19
3,0.2506733283890862,0.4008613963359446,0.3317405790737919,0.5063670411985018,12844,604122,25873,12521,0,3,pspnet_vgg19
4,0.2042778741967259,0.3392537197164447,0.5335702033815242,0.248686614892645,8710,612722,7614,26314,0,4,pspnet_vgg19
5,0.2955295359843128,0.4562297157660345,0.4548329996227619,0.4576350364963503,15674,602323,18787,18576,0,5,pspnet_vgg19
6,0.3433787538034131,0.5112165914954799,0.5243918864315923,0.4986871261511662,38934,541975,35312,39139,0,6,pspnet_vgg19
7,0.3769899964380799,0.547556623378901,0.4733191844159781,0.6494134531386497,62445,489719,69485,33711,0,7,pspnet_vgg19
8,0.3483404408364589,0.5166950872145641,0.5003782497186191,0.5341119470595187,81357,421804,81234,70965,0,8,pspnet_vgg19
9,0.3355572614257526,0.5024977529866953,0.5858932956722769,0.4398849161860251,65132,461259,46035,82934,0,9,pspnet_vgg19
10,0.3115659258502855,0.4751052458888759,0.5640788622287956,0.4103756364684408,42716,518259,33011,61374,1,10,pspnet_vgg19
11,0.2889567531698406,0.4483575611970373,0.5120692925333502,0.3987455814732032,40497,515211,38588,61064,1,11,pspnet_vgg19
12,0.2574685999479622,0.4095030284789888,0.6182258782101646,0.3061439734497096,65310,401698,40331,148021,1,12,pspnet_vgg19
13,0.3073424940389863,0.4701790012033695,0.5027443253784757,0.4415758710201486,25006,573998,24733,31623,1,13,pspnet_vgg19
14,0.2881470774234348,0.4473822632114177,0.5173140864487876,0.3941060175460274,12758,611084,11904,19614,1,14,pspnet_vgg19
15,0.242755905511811,0.3906735094722169,0.4242319997247927,0.3620350526964742,12332,604560,16737,21731,1,15,pspnet_vgg19
16,0.3212376276206063,0.4862677551790854,0.4774027658736593,0.4954682053131386,20609,591205,22560,20986,1,16,pspnet_vgg19
17,0.2083112027024156,0.3447972711608116,0.5229612245986452,0.2571803278688525,9805,608291,8944,28320,1,17,pspnet_vgg19
18,0.3275061906557995,0.4934156886967263,0.4942705110753619,0.4925638179800222,19971,594381,20434,20574,1,18,pspnet_vgg19
19,0.3129143137736312,0.4766713417484806,0.5664164732605798,0.4114756156619374,22941,582046,17561,32812,1,19,pspnet_vgg19
20,0.3663767095736122,0.5362748164639644,0.5259112233850596,0.547055069634746,72865,456480,65685,60330,2,20,pspnet_vgg19
21,0.3800046521094409,0.5507295233078746,0.5440524508273493,0.5575725255972697,52278,517788,43812,41482,2,21,pspnet_vgg19
22,0.3725205922352518,0.542826962805089,0.5517933839273271,0.5341472837318256,87105,421534,70753,75968,2,22,pspnet_vgg19
23,0.3148135785573617,0.4788718091925718,0.5563978526340629,0.4203079391252033,37726,535524,30078,52032,2,23,pspnet_vgg19
24,0.2962349702051465,0.4570698631256081,0.560397734515853,0.3859138679174296,30772,551483,24139,48966,2,24,pspnet_vgg19
25,0.3067946794273896,0.4695376928865683,0.5828502089793717,0.3931123178050871,30261,556724,21658,46717,2,25,pspnet_vgg19
26,0.3189389088345121,0.4836295399251573,0.5303273197109633,0.4444901233329991,44329,516371,39259,55401,2,26,pspnet_vgg19
27,0.2907706420528806,0.4505380469305224,0.530103007340753,0.3917404000743714,35818,532177,31750,55615,2,27,pspnet_vgg19
28,0.3502154122073415,0.518754872801825,0.5524292742927429,0.4889499755048718,35930,552766,29110,37554,2,28,pspnet_vgg19
29,0.3110683439729628,0.4745265117611256,0.5532874139010645,0.4153947409659322,26508,570144,21402,37306,2,29,pspnet_vgg19
30,0.3055378682570288,0.4680643521507961,0.5098470563586842,0.4326112352702153,34069,543855,32753,44683,3,30,pspnet_vgg19
31,0.1231473244575788,0.2192897080835811,0.5782096208983752,0.1353019133603909,16335,522714,11916,104395,3,31,pspnet_vgg19
32,0.1603815674860311,0.2764290160752865,0.5833397728150839,0.1811310794922859,7549,608291,5392,34128,3,32,pspnet_vgg19
33,0.1535471638489493,0.2662174008327854,0.5400388996943596,0.1766491556541181,9718,592070,8277,45295,3,33,pspnet_vgg19
34,0.1694481970279538,0.2897917110968934,0.6114902872571815,0.1898916967509025,8153,607245,5180,34782,3,34,pspnet_vgg19
35,0.1025222345747637,0.1859776272254608,0.6321765209940017,0.1090257509143976,2951,626576,1717,24116,3,35,pspnet_vgg19
